YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,17,0,24.3,82.69,0.88,99.1,2.81
2011,6,17,1,24.22,84.5,1.02,99.01,3.6
2011,6,17,2,24.13,87.5,1.07,98.98,4.48
2011,6,17,3,24.3,89.12,1.1,98.96,4.99
2011,6,17,4,24.66,89.56,0.99,98.98,5.1
2011,6,17,5,24.83,90,0.9,99.03,5.48
2011,6,17,6,25.39,88.88,0.89,99.12,6.13
2011,6,17,7,25.89,84.12,1.02,99.22,6.56
2011,6,17,8,26.24,78.12,1.22,99.29,6.17
2011,6,17,9,26.54,74.69,1.31,99.32,5.62
2011,6,17,10,26.69,72.44,1.38,99.3,5.08
2011,6,17,11,26.78,71.19,1.36,99.24,4.63
2011,6,17,12,26.91,71.44,1.3,99.16,4.61
2011,6,17,13,26.97,73,1.14,99.09,5.15
2011,6,17,14,26.9,75.69,1.03,99.04,6.13
2011,6,17,15,26.76,78.06,0.98,99.03,7.14
2011,6,17,16,26.4,80.62,0.94,99.05,7.6
2011,6,17,17,25.9,83.88,1.04,99.1,7.89
2011,6,17,18,25.44,84.25,1.11,99.15,8.31
2011,6,17,19,25.2,83.75,1.23,99.21,8.23
2011,6,17,20,24.98,83.62,1.21,99.26,7.64
2011,6,17,21,24.79,83.25,1.26,99.27,6.95
2011,6,17,22,24.69,82.44,1.29,99.22,6.17
2011,6,17,23,24.6,82,1.34,99.14,5.52
2011,6,18,0,24.55,81.94,1.27,99.03,5.14
2011,6,18,1,24.38,83.12,1,98.95,5.16
2011,6,18,2,24.28,85.75,0.86,98.9,5.12
2011,6,18,3,24.21,89.06,0.7,98.91,5.4
2011,6,18,4,24.3,91.5,0.72,98.95,5.41
2011,6,18,5,24.4,92.31,1.01,98.99,4.76
2011,6,18,6,25.01,92,1.26,99.04,3.98
2011,6,18,7,25.72,90.62,1.43,99.09,3.55
2011,6,18,8,26.42,88.19,0.65,99.13,4.02
2011,6,18,9,27.08,85.69,0.62,99.14,4.7
2011,6,18,10,27.5,85.38,0.54,99.12,5.18
2011,6,18,11,27.71,85.62,0.44,99.08,5.68
2011,6,18,12,27.73,86,0.38,99.02,6.03
2011,6,18,13,27.65,86.31,0.34,98.95,6.29
2011,6,18,14,27.5,87,0.3,98.89,6.28
2011,6,18,15,27.34,87.75,0.24,98.86,6.21
2011,6,18,16,27.1,89.06,0.21,98.87,5.85
2011,6,18,17,26.76,90.25,0.21,98.88,5.95
2011,6,18,18,26.4,91.12,0.24,98.91,6.28
2011,6,18,19,26.23,91.38,0.27,98.94,6.42
2011,6,18,20,26.17,91.31,0.28,98.98,6.43
2011,6,18,21,26.15,90.94,0.25,98.99,6.47
2011,6,18,22,26.07,90.81,0.22,98.98,6.35
2011,6,18,23,26,90.5,0.22,98.94,6.64
2011,6,19,0,25.91,90.56,0.26,98.88,6.82
2011,6,19,1,25.83,90.69,0.35,98.83,7.02
2011,6,19,2,25.76,90.75,0.4,98.8,7.14
2011,6,19,3,25.66,90.75,0.48,98.79,7.17
2011,6,19,4,25.58,90.75,0.42,98.81,7.16
2011,6,19,5,25.58,90.69,0.46,98.85,7.01
2011,6,19,6,25.94,90,0.51,98.92,6.85
2011,6,19,7,26.47,88.38,0.53,98.97,6.9
2011,6,19,8,26.94,85.5,0.41,99.02,7.72
2011,6,19,9,27.48,82.31,0.48,99.04,8.15
2011,6,19,10,27.86,80.62,0.53,99.01,8.38
2011,6,19,11,28.05,79.69,0.56,98.95,8.61
2011,6,19,12,28.11,79.06,0.53,98.86,8.68
2011,6,19,13,28.05,79.06,0.4,98.78,8.58
2011,6,19,14,27.89,79.56,0.22,98.72,8.4
2011,6,19,15,27.62,80.44,0.12,98.7,8.11
2011,6,19,16,27.24,82.56,0.07,98.72,7.33
2011,6,19,17,26.69,85.75,0.04,98.76,6.45
2011,6,19,18,26.05,88.06,0.03,98.83,6.22
2011,6,19,19,25.77,88.62,0.03,98.9,5.83
2011,6,19,20,25.65,88.81,0.03,98.95,5.64
2011,6,19,21,25.6,88.69,0.05,98.96,5.66
2011,6,19,22,25.57,88.62,0.07,98.96,5.56
2011,6,19,23,25.51,88.62,0.16,98.9,5.41
2011,6,20,0,25.44,88.81,0.27,98.82,5.55
2011,6,20,1,25.35,89,0.35,98.75,5.65
2011,6,20,2,25.3,88.94,0.37,98.72,5.7
2011,6,20,3,25.24,89.06,0.31,98.74,5.62
2011,6,20,4,25.2,89.19,0.23,98.79,5.46
2011,6,20,5,25.15,89.5,0.2,98.84,5.45
2011,6,20,6,25.68,89.06,0.19,98.91,5.42
2011,6,20,7,26.33,87.19,0.18,98.97,5.65
2011,6,20,8,26.95,83.88,0.28,99.04,6.33
2011,6,20,9,27.51,81.38,0.28,99.06,6.77
2011,6,20,10,27.94,79.5,0.27,99.03,7.13
2011,6,20,11,28.18,78.38,0.26,98.99,7.35
2011,6,20,12,28.26,77.88,0.23,98.93,7.49
2011,6,20,13,28.23,77.69,0.22,98.89,7.55
2011,6,20,14,28.08,78.06,0.22,98.86,7.52
2011,6,20,15,27.75,79.44,0.24,98.85,7.32
2011,6,20,16,27.16,83.06,0.31,98.86,6.57
2011,6,20,17,26.54,86.94,0.34,98.9,6.14
2011,6,20,18,25.96,89.31,0.39,98.97,5.91
2011,6,20,19,25.74,89.94,0.47,99.03,5.44
2011,6,20,20,25.65,90.06,0.4,99.09,5.25
2011,6,20,21,25.55,90.25,0.41,99.13,5.01
2011,6,20,22,25.38,90.25,0.48,99.14,4.87
2011,6,20,23,25.24,90.12,0.52,99.11,5.06
2011,6,21,0,25.2,89.81,0.7,99.04,5.22
2011,6,21,1,25.15,89.75,0.52,98.95,5.44
2011,6,21,2,25.13,89.62,0.5,98.91,5.77
2011,6,21,3,25.12,89.5,0.19,98.9,5.89
2011,6,21,4,25.07,89.44,0.08,98.94,5.66
2011,6,21,5,25.03,89.5,0.1,99,5.48
2011,6,21,6,25.62,88.62,0.09,99.08,5.47
